0, 2, -1.000000 
0, 6, -1.000000 
0, 8, -1.000000 
0, 24, -1.000000 
1, 3, -1.000000 
1, 7, -1.000000 
1, 9, -1.000000 
1, 25, -1.000000 
2, 0, -1.000000 
2, 4, -1.000000 
2, 10, -1.000000 
2, 26, -1.000000 
3, 1, -1.000000 
3, 5, -1.000000 
3, 11, -1.000000 
3, 27, -1.000000 
4, 2, -1.000000 
4, 6, -1.000000 
4, 12, -1.000000 
4, 28, -1.000000 
5, 3, -1.000000 
5, 7, -1.000000 
5, 13, -1.000000 
5, 29, -1.000000 
6, 0, -1.000000 
6, 4, -1.000000 
6, 14, -1.000000 
6, 30, -1.000000 
7, 1, -1.000000 
7, 5, -1.000000 
7, 15, -1.000000 
7, 31, -1.000000 
8, 0, -1.000000 
8, 10, -1.000000 
8, 14, -1.000000 
8, 16, -1.000000 
9, 1, -1.000000 
9, 11, -1.000000 
9, 15, -1.000000 
9, 17, -1.000000 
10, 2, -1.000000 
10, 8, -1.000000 
10, 12, -1.000000 
10, 18, -1.000000 
11, 3, -1.000000 
11, 9, -1.000000 
11, 13, -1.000000 
11, 19, -1.000000 
12, 4, -1.000000 
12, 10, -1.000000 
12, 14, -1.000000 
12, 20, -1.000000 
13, 5, -1.000000 
13, 11, -1.000000 
13, 15, -1.000000 
13, 21, -1.000000 
14, 6, -1.000000 
14, 8, -1.000000 
14, 12, -1.000000 
14, 22, -1.000000 
15, 7, -1.000000 
15, 9, -1.000000 
15, 13, -1.000000 
15, 23, -1.000000 
16, 8, -1.000000 
16, 18, -1.000000 
16, 22, -1.000000 
16, 24, -1.000000 
17, 9, -1.000000 
17, 19, -1.000000 
17, 23, -1.000000 
17, 25, -1.000000 
18, 10, -1.000000 
18, 16, -1.000000 
18, 20, -1.000000 
18, 26, -1.000000 
19, 11, -1.000000 
19, 17, -1.000000 
19, 21, -1.000000 
19, 27, -1.000000 
20, 12, -1.000000 
20, 18, -1.000000 
20, 22, -1.000000 
20, 28, -1.000000 
21, 13, -1.000000 
21, 19, -1.000000 
21, 23, -1.000000 
21, 29, -1.000000 
22, 14, -1.000000 
22, 16, -1.000000 
22, 20, -1.000000 
22, 30, -1.000000 
23, 15, -1.000000 
23, 17, -1.000000 
23, 21, -1.000000 
23, 31, -1.000000 
24, 0, -1.000000 
24, 16, -1.000000 
24, 26, -1.000000 
24, 30, -1.000000 
25, 1, -1.000000 
25, 17, -1.000000 
25, 27, -1.000000 
25, 31, -1.000000 
26, 2, -1.000000 
26, 18, -1.000000 
26, 24, -1.000000 
26, 28, -1.000000 
27, 3, -1.000000 
27, 19, -1.000000 
27, 25, -1.000000 
27, 29, -1.000000 
28, 4, -1.000000 
28, 20, -1.000000 
28, 26, -1.000000 
28, 30, -1.000000 
29, 5, -1.000000 
29, 21, -1.000000 
29, 27, -1.000000 
29, 31, -1.000000 
30, 6, -1.000000 
30, 22, -1.000000 
30, 24, -1.000000 
30, 28, -1.000000 
31, 7, -1.000000 
31, 23, -1.000000 
31, 25, -1.000000 
31, 29, -1.000000 
[1, -1, 1, -1, -1, 1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 1]
